user_name,machine_name,logon_time,total_sec,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7
user_233,machine_5,02-08-2020 02:22,19.804,0.033,,0.047,1.613,0.503,4.504,7.6
user_518,machine_21,03-02-2020 16:23,21.023,0.017,,0.031,3.34,0.913,5.554,7.406
user_223,machine_4,2/26/2020 2:35,35.371,0.033,,0.047,1.714,2.323,12.22,12.403
user_177,machine_5,2/17/2020 21:06,35.62,0.1,5.027,0.015,2.096,3.377,4.43,17.057
user_177,machine_5,2/20/2020 19:30,18.886,0.034,2.47,0.063,1.6,0.81,4.933,6.057
user_417,machine_6,02-08-2020 00:03,32.274,0.02,4.294,0.094,1.593,0.18,9.584,11.986
user_65,machine_14,2/15/2020 5:34,19.966,0.033,,0.047,1.654,1.2,3.26,8.556
user_612,machine_21,2/26/2020 8:12,21.655,0.02,,0.062,1.75,0.914,6.9,5.737
user_188,machine_3,02-06-2020 03:42,22.725,0.02,5.514,0.031,1.517,0.68,2.25,5.293
user_542,machine_1,2/22/2020 18:32,61.365,0.05,3.01,0.031,2.577,0.537,,
user_315,machine_4,2/20/2020 19:16,16.673,0.03,,0.031,1.594,0.73,4.293,5.607
user_432,machine_4,2/25/2020 0:00,28.149,0.017,0.12,0.031,1.64,1.584,11.363,10.517
user_539,machine_1,2/13/2020 13:33,20.892,0.02,,0.046,1.73,0.36,2.423,11.147
user_532,machine_18,2/18/2020 13:59,235.092,0.033,,0.031,1.744,0.457,1.93,6.52
user_81,machine_22,2/18/2020 12:07,39.067,0.034,,0.031,1.76,0.437,4.113,6.69
user_91,machine_18,2/27/2020 15:20,30.907,0.03,,0.047,1.86,0.43,2.513,12.47
user_66,machine_5,2/25/2020 0:47,75.683,0.08,8.066,0.047,2.243,1.294,35.674,13.363
user_155,machine_2,02-07-2020 01:04,51.206,0.114,4.44,0.031,1.646,0.537,31.453,10.01
user_342,machine_4,2/14/2020 1:06,44.64,0.048,,0.062,2.207,1.007,29.834,8.16
user_136,machine_15,2/19/2020 23:12,26.519,0.034,,0.141,1.49,0.53,8.01,7.227
user_32,machine_21,2/17/2020 18:13,18.873,0.03,,0.031,1.793,1.126,4.28,6.82
user_13,machine_5,2/20/2020 23:39,53.241,0.033,8.01,0.062,1.694,1.26,6.88,7.267
user_143,machine_2,2/18/2020 20:27,20.172,0.033,,0.031,1.55,0.72,6.846,5.46
user_67,machine_1,02-09-2020 18:43,22.817,0.063,,0.031,1.743,1.02,2.643,8.35
user_533,machine_0,2/15/2020 12:19,26.664,0.03,,0.047,1.713,1.396,3.383,10.093
user_183,machine_4,02-06-2020 20:04,29.224,0.03,,0.031,1.757,0.803,7.83,7
user_42,machine_5,2/19/2020 0:22,25.305,0.03,,0.063,1.836,0.744,9.98,7.61
user_294,machine_4,2/20/2020 20:12,32.839,0.03,5.907,0.031,1.553,0.186,5.577,10.226
user_440,machine_4,02-10-2020 21:21,21.999,0.03,,0.047,1.85,0.78,7.17,6.746
user_568,machine_21,2/27/2020 15:29,56.251,0.03,,0.031,3.887,0.687,6.114,6.756
user_694,machine_23,2/29/2020 12:50,29.954,0.03,8.696,0.032,1.723,0.856,3.903,5.78
user_25,machine_0,2/26/2020 16:36,27.541,0.017,5.467,0.047,1.56,0.947,11.546,5.61
user_56,machine_4,2/19/2020 3:49,27.02,0.016,,0.047,2.22,1.616,10.957,7.72
user_565,machine_6,2/16/2020 1:43,32.474,0.02,,0.031,2.103,2.34,3.653,19.037
user_540,machine_5,02-07-2020 01:40,20.262,0.03,5.273,0.032,1.656,1.217,3.213,7.397
user_536,machine_14,2/25/2020 1:06,26.869,0.066,1.974,0.063,1.464,0.353,6.63,12.367
user_34,machine_23,02-06-2020 08:39,20.192,0.03,,0.031,1.437,0.75,1.337,5.36
user_185,machine_6,2/28/2020 6:38,26.559,0.03,4.426,0.047,1.58,0.517,10.11,5.666
user_486,machine_9,03-02-2020 19:43,24.775,0.03,5.404,0.047,1.537,0.243,7.05,4.92
user_359,machine_19,2/20/2020 0:38,20.426,0.02,,0.031,1.66,0.723,3.673,6.823
user_219,machine_18,2/19/2020 17:22,46.014,0.03,18.07,0.031,1.724,0.82,5.357,8.327
user_210,machine_5,02-11-2020 00:08,37.422,0.016,14.106,0.015,1.603,0.18,5.583,11.317
user_271,machine_2,2/18/2020 13:46,39.546,0.037,,0.125,1.44,0.2,3.183,9.35
user_189,machine_4,2/14/2020 2:03,34.491,0.046,4.643,0.047,2.107,1.427,14.744,8.486
user_612,machine_21,2/26/2020 7:16,27.926,0.416,,0.063,1.79,0.234,6.61,10.237
user_42,machine_5,2/18/2020 21:23,25.116,0.033,,0.063,1.677,0.204,8.144,10.05
user_344,machine_14,2/14/2020 14:46,66.739,0.084,,0.031,1.727,0.57,3.504,10.106
user_690,machine_5,02-12-2020 15:45,32.264,0.02,4.58,0.031,1.614,0.84,10.307,8.72
user_114,machine_5,02-05-2020 19:26,54.345,0.034,7.686,0.031,1.577,0.626,25.983,7.21
user_35,machine_21,02-10-2020 21:36,24.632,0.033,,0.047,1.517,1.156,5.377,6.507
user_468,machine_5,02-11-2020 20:25,26.478,0.03,3.883,0.016,1.637,1.346,6.51,9.087
user_647,machine_23,2/19/2020 16:31,38.574,0.02,,0.031,1.663,0.913,15.917,6.97
user_705,machine_21,03-02-2020 08:54,29.6,0.146,,0.016,1.694,0.664,3.883,6.067
user_18,machine_1,2/25/2020 15:31,59.243,0.034,9.347,0.047,1.54,0.996,35.09,6.003
user_46,machine_4,2/19/2020 23:38,38.38,0.06,8.7,0.047,1.59,1.397,11.843,7.904
user_457,machine_17,02-05-2020 10:30,20.239,0.037,,0.032,1.43,1.05,1.38,6.993
user_457,machine_18,02-06-2020 15:42,15.806,0.03,,0.031,1.443,0.767,1.45,6.916
user_557,machine_5,03-02-2020 21:37,22.309,0.02,,0.031,1.49,0.24,11.186,4.824
user_396,machine_5,02-07-2020 02:24,60.417,0.033,3.833,0.031,1.547,0.783,41.27,6.227
user_527,machine_2,2/16/2020 19:32,21.054,0.02,3.317,0.047,1.63,1.063,2.9,7.193
user_512,machine_22,2/18/2020 7:30,19.881,0.093,5.25,0.047,1.67,0.536,3.283,6.757
user_197,machine_6,2/28/2020 21:56,31.904,0.034,7.73,0.063,1.677,0.193,7.267,10.07
user_202,machine_21,2/19/2020 10:49,39.167,0.07,15.313,0.031,1.78,0.346,3.43,13.1
user_546,machine_4,2/21/2020 20:09,32.362,0.016,10.62,0.032,1.96,1.946,6.413,9.213
user_546,machine_4,2/27/2020 2:07,39.078,0.03,10.734,0.046,1.976,0.273,7.146,15.127
user_197,machine_5,2/13/2020 0:59,43.526,0.034,3.75,0.031,1.77,2.75,7.113,10.264
user_255,machine_17,02-11-2020 18:44,30.461,0.034,5.816,0.031,1.683,0.793,8.353,6.443
user_551,machine_3,03-02-2020 18:52,21.565,0.03,4.83,0.031,1.677,0.577,4.587,5.77
user_569,machine_18,02-05-2020 12:10,62.631,0.033,7.98,0.031,1.47,0.517,1.676,9.017
user_255,machine_19,2/21/2020 8:02,36.086,0.067,4.85,0.031,1.687,0.526,8.447,5.456
user_40,machine_2,2/22/2020 23:35,57.883,0.07,,0.031,2.496,1.967,14.726,12.604
user_390,machine_5,02-03-2020 20:03,44.647,0.034,,0.016,1.56,1.486,9.106,8.667
user_430,machine_5,03-02-2020 23:30,80.747,0.03,3.293,0.125,1.533,0.313,12.193,4.987
user_316,machine_4,03-02-2020 21:08,19.498,0.033,,0.046,1.82,0.944,4.573,7.687
user_42,machine_4,2/20/2020 21:13,23.03,0.03,,0.047,1.616,0.174,6.82,10.36
user_412,machine_22,2/21/2020 11:16,45.242,0.03,8.81,0.031,1.66,0.283,2.966,6.227
user_298,machine_4,2/26/2020 21:50,30.802,0.078,,0.047,1.773,1.934,10.177,13.003
user_236,machine_6,02-06-2020 22:15,26.721,0.033,7.384,0.032,1.526,1.397,2.697,7.193
user_149,machine_23,2/26/2020 20:56,28.679,0.017,7.563,0.046,1.89,0.906,6.776,6.184
user_225,machine_6,02-11-2020 07:56,27.303,0.017,,0.031,1.584,0.17,8.513,10.533
user_520,machine_21,2/28/2020 21:00,20.189,0.067,,0.031,1.724,0.433,3.117,5.91
user_44,machine_7,2/13/2020 8:19,37.986,0.096,,0.062,1.727,0.986,4.903,13.3
user_396,machine_5,02-03-2020 20:28,41.588,0.017,,0.046,1.597,0.223,22.77,10.317
user_569,machine_17,02-11-2020 10:34,38.441,0.02,11.977,0.047,1.75,1.993,5,9.19
user_437,machine_5,02-08-2020 00:27,21.105,0.02,2.81,0.016,1.537,0.19,5.124,10.91
user_542,machine_2,03-02-2020 14:49,52.47,0.033,2.897,0.047,1.547,0.69,33.657,5.35
user_422,machine_8,02-04-2020 23:32,19.64,0.03,4.296,0.063,1.54,0.513,1.754,5.513
user_628,machine_16,02-06-2020 00:19,18.047,0.053,2.824,0.016,1.737,0.363,5.773,6.09
user_590,machine_24,02-04-2020 03:04,30.339,0.03,13.294,0.031,1.433,0.21,2.296,5.247
user_219,machine_19,02-04-2020 07:33,37.436,0.017,14.436,0.157,1.947,0.264,4.314,11.283
user_406,machine_5,02-11-2020 05:15,24.389,0.02,3.074,0.016,1.513,0.413,11.54,7.524
user_653,machine_2,02-07-2020 15:16,19.699,0.034,,0.031,1.66,1.313,6.68,6.077
user_335,machine_4,2/24/2020 22:30,35.022,0.033,2.386,0.047,1.743,1.853,3.13,11.786
user_96,machine_21,2/26/2020 10:57,38.98,0.02,7.993,0.031,1.723,1.347,7.06,8.41
user_446,machine_14,2/15/2020 5:50,21.317,0.03,,0.031,1.65,1.097,3.183,8.974
user_375,machine_5,2/24/2020 21:00,25.793,0.033,2.35,0.047,1.79,0.186,3.36,14.676
user_465,machine_2,02-06-2020 13:16,26.067,0.03,4.86,0.032,1.64,0.703,3.344,7.27
user_48,machine_4,2/20/2020 22:22,22.012,0.053,,0.032,1.674,0.99,8.604,7.043
user_411,machine_24,02-08-2020 11:57,28.533,0.033,,0.031,1.394,1.127,5.363,6.947
user_209,machine_15,03-02-2020 21:24,52.52,0.046,17.567,0.125,1.966,0.333,10.5,10.36
user_707,machine_23,02-05-2020 13:57,24.482,0.078,6.777,0.031,1.42,0.44,4.457,5.097
user_174,machine_6,02-04-2020 02:19,38.092,0.056,10.027,0.047,1.506,0.166,6.46,8.904
user_594,machine_2,2/18/2020 15:35,14.704,0.047,,0.031,1.463,0.553,2.5,4.827
user_229,machine_6,2/28/2020 9:46,25.296,0.03,2.817,0.031,1.517,0.14,2.413,10.003
user_646,machine_24,02-04-2020 10:04,65.228,0.017,10.333,0.031,1.483,0.307,5.034,4.98
user_84,machine_0,2/27/2020 18:26,46.818,0.03,,0.031,2.2,1.947,17.936,14.514
user_256,machine_18,2/13/2020 10:23,30.654,0.063,11.007,0.031,1.707,1.126,3.186,10.03
user_32,machine_21,2/17/2020 13:16,19.923,0.043,,0.031,1.86,0.933,4.857,7.446
user_396,machine_8,02-05-2020 20:26,49.077,0.03,3.447,0.046,1.544,0.193,28.503,9.783
user_149,machine_19,2/25/2020 10:08,29.533,0.03,6.38,0.047,1.75,0.82,6.18,7.63
user_125,machine_0,02-03-2020 21:47,35.75,0.046,8.483,0.141,1.6,0.453,5.38,11.633
user_82,machine_18,2/22/2020 11:44,45.269,0.033,,0.031,1.707,0.767,8.687,7.487
user_498,machine_16,2/18/2020 3:49,32.957,0.097,6.98,0.031,1.7,0.25,4.373,8.997
user_201,machine_5,02-07-2020 19:00,38.557,0.046,,0.016,1.54,0.186,6.376,11.28
user_63,machine_4,02-03-2020 07:16,22.975,0.033,,0.031,1.73,1.813,5.86,10.81
user_649,machine_5,2/22/2020 5:10,20.614,0.067,,0.047,1.76,0.194,2.036,11.494
user_242,machine_1,2/20/2020 14:37,26.841,0.033,,0.031,1.46,0.317,6.453,9.707
user_185,machine_6,02-11-2020 20:05,37.445,0.017,6.67,0.063,1.697,0.173,8.023,11.48
user_647,machine_18,03-02-2020 11:46,35.725,0.03,,0.031,1.683,0.67,15.69,6.844
user_137,machine_5,2/29/2020 0:44,31.129,0.078,,0.095,1.823,0.793,9.874,12.52
user_206,machine_23,02-10-2020 09:42,18.432,0.037,,0.032,1.457,0.853,3.683,6.827
user_638,machine_21,03-02-2020 15:37,25.945,0.033,,0.031,1.76,0.826,11.214,6.016
user_156,machine_19,02-12-2020 15:12,43.212,0.034,11.28,0.047,1.703,0.193,3.093,11.15
user_624,machine_5,02-04-2020 21:15,31.53,0.078,,0.031,1.614,0.187,2.603,9.96
user_122,machine_8,02-05-2020 20:35,20.13,0.03,,0.047,1.82,0.704,6.493,6.417
user_383,machine_5,2/22/2020 10:45,30.477,0.06,,0.031,1.58,0.93,11.43,7.194
user_30,machine_19,03-02-2020 14:11,23.986,0.034,,0.031,1.73,0.56,4.684,6.783
user_208,machine_23,02-04-2020 21:43,33.781,0.02,8.097,0.031,1.41,0.204,5.543,10.774
user_686,machine_6,2/28/2020 17:48,20.337,0.046,,0.047,1.977,2.48,4.567,10.123
user_420,machine_1,02-07-2020 20:36,84.258,0.017,,0.14,2.514,2.316,12.62,13.953
user_233,machine_6,02-10-2020 17:15,18.739,0.056,,0.047,1.573,0.954,4.22,7
user_581,machine_17,2/27/2020 14:28,18.619,0.06,,0.032,2.163,0.874,4.366,6.134
user_179,machine_2,02-04-2020 20:03,22.203,0.02,5.94,0.031,1.46,0.453,4.71,4.77
user_261,machine_1,2/20/2020 16:25,26.994,0.03,2.24,0.047,1.496,0.62,6.25,5.147
user_294,machine_4,2/21/2020 22:30,50.887,0.03,4.44,0.032,1.817,1.964,5.647,8.526
user_359,machine_19,2/20/2020 0:35,23.581,0.017,,0.031,1.656,0.22,4.123,10.513
user_480,machine_4,02-06-2020 01:16,30.583,0.017,4.18,0.046,1.76,0.197,6.24,10.46
user_223,machine_5,02-07-2020 03:56,32.307,0.02,6.676,0.047,1.62,0.793,10.87,7.303
user_396,machine_6,02-12-2020 19:23,61.726,0.03,,0.031,1.614,0.203,34.853,10.843
user_338,machine_8,02-11-2020 00:56,30.165,0.062,4.79,0.141,1.586,0.83,11.067,7.997
